FILENAME,NAME,NAME_OVERRIDE,GAME,UID,LOD,PORTAL,TAG,TAG_HUMAN,IS_HUB,IS_SPHERE,MANUAL,IS_SUBAREA,IS_FIRST_OCCURRENCE,COUNT,DATA_MD5
s1-1_011-n.F.obj,Artisans,,s1,11,1,,F,COLORS,TRUE,,,FALSE,TRUE,1,3f8cd61f671560fb20da48cd9fd5fe1b
s1-1_011-n.L.obj,Artisans,,s1,11,1,,L,LOWPOLY,TRUE,,,FALSE,TRUE,1,bfdfacf883da9602b4fe4ae80e9d2d91
s1-1_011-n.M.obj,Artisans,,s1,11,1,,M,LIGHTSHADE,TRUE,,,FALSE,TRUE,1,2acafb386492a3de3efc308876023d3d
s1-1_011-n.S.obj,Artisans,Artisans,s1,11,1,,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,b49f2d247ebdd09024033bece1446211
s1-1_011-n.T.obj,Artisans,,s1,11,1,,T,TEXTURES,TRUE,,,FALSE,TRUE,1,a3c8dcabaca2caeab8457e28e1d73b2f
s1-1_011_2-n.S.obj,Artisans,Toasty,s1,11,1,2,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,b0e059db50e5bcc94d3d54d9fc37481a
s1-1_011_3-n.S.obj,Artisans,Dark Hollow,s1,11,1,3,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,6908d9536571c39b65cc031e311196b5
s1-1_011_4-n.S.obj,Artisans,Stone Hill,s1,11,1,4,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,cab7f45748369b609136efe39d3ab773
s1-1_011_5-n.S.obj,Artisans,Town Square,s1,11,1,5,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,3,1909bba3146c2a9deabd776ee6c21bd0
s1-1_011_6-n.S.obj,Artisans,Sunny Flight,s1,11,1,6,S,SKY,TRUE,FALSE,FALSE,FALSE,TRUE,2,55f4e03bbf1bf6ae5ac8951dfeb9fbc4
s1-1_013-n.F.obj,Stone Hill,,s1,13,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,7f056541ad493e8377d2fe495d73784c
s1-1_013-n.L.obj,Stone Hill,,s1,13,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,f59c1a4ac76ed68d9aa800785e7a97e9
s1-1_013-n.M.obj,Stone Hill,,s1,13,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,2934f6317182425127ce05bf655ac29b
s1-1_013-n.S.obj,Stone Hill,Stone Hill,s1,13,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,3,cab7f45748369b609136efe39d3ab773
s1-1_013-n.T.obj,Stone Hill,,s1,13,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,609708ef382c3e65134a6fc95fcc3419
s1-1_015-n.F.obj,Dark Hollow,,s1,15,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,6d542bc15c09ae16507937e1bee3924a
s1-1_015-n.L.obj,Dark Hollow,,s1,15,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,1,0e8f5735d995f751fca530a94f64d945
s1-1_015-n.M.obj,Dark Hollow,,s1,15,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,d9fcee0d70d4ca9ab8b3e53d98cf07b8
s1-1_015-n.S.obj,Dark Hollow,Dark Hollow,s1,15,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,2,6908d9536571c39b65cc031e311196b5
s1-1_015-n.T.obj,Dark Hollow,,s1,15,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,a2ff91d5d81e26c542ac6d8576b18e84
s1-1_017-n.F.obj,Town Square,,s1,17,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,4c7167593b020fc849a9ac0f0474e0e9
s1-1_017-n.L.obj,Town Square,,s1,17,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,2,4cf745ebc008aa39ebf44fe42c16dd8a
s1-1_017-n.M.obj,Town Square,,s1,17,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,1,63ba819b9dece09e011979a01aee86c0
s1-1_017-n.S.obj,Town Square,Town Square,s1,17,1,,S,SKY,FALSE,FALSE,TRUE,FALSE,FALSE,3,1909bba3146c2a9deabd776ee6c21bd0
s1-1_017-n.T.obj,Town Square,,s1,17,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,98ca77a279911d8eacd8d7e71acf643f
s1-1_019-n.F.obj,Toasty,,s1,19,1,,F,COLORS,FALSE,,,FALSE,TRUE,2,beb8ec0a705863e881aad0d31f6d4023
s1-1_019-n.L.obj,Toasty,,s1,19,1,,L,LOWPOLY,FALSE,,,FALSE,TRUE,2,12c1ebd724442c31645befb23be258df
s1-1_019-n.M.obj,Toasty,,s1,19,1,,M,LIGHTSHADE,FALSE,,,FALSE,TRUE,2,7cb5c7d4f37c892a3434d07e5270d49b
s1-1_019-n.S.obj,Toasty,Toasty,s1,19,1,,S,SKY,FALSE,FALSE,FALSE,FALSE,FALSE,3,b0e059db50e5bcc94d3d54d9fc37481a
s1-1_019-n.T.obj,Toasty,,s1,19,1,,T,TEXTURES,FALSE,,,FALSE,TRUE,1,49725d767acf2e9e877d185517c28b00
s1-1_021-n.F.obj,Sunny Flight,,s1,21,1,,F,COLORS,FALSE,,,FALSE,TRUE,1,61394712fc51693a3e9907916a8561a0
