MD5,TAG,FILENAMES
3f8cd61f671560fb20da48cd9fd5fe1b,F,['s1-1_011-n.F.obj']
bfdfacf883da9602b4fe4ae80e9d2d91,L,['s1-1_011-n.L.obj']
2acafb386492a3de3efc308876023d3d,M,['s1-1_011-n.M.obj']
b49f2d247ebdd09024033bece1446211,S,"['s1-1_011-n.S.obj', 's1-3_083-n.S.obj']"
a3c8dcabaca2caeab8457e28e1d73b2f,T,['s1-1_011-n.T.obj']
b0e059db50e5bcc94d3d54d9fc37481a,S,"['s1-1_011_2-n.S.obj', 's1-1_019-n.S.obj', 's1-3_092-n.S.obj']"
6908d9536571c39b65cc031e311196b5,S,"['s1-1_011_3-n.S.obj', 's1-1_015-n.S.obj']"
cab7f45748369b609136efe39d3ab773,S,"['s1-1_011_4-n.S.obj', 's1-1_013-n.S.obj', 's1-3_084-n.S.obj']"
1909bba3146c2a9deabd776ee6c21bd0,S,"['s1-1_011_5-n.S.obj', 's1-1_017-n.S.obj', 's1-3_085-n.S.obj']"
55f4e03bbf1bf6ae5ac8951dfeb9fbc4,S,"['s1-1_011_6-n.S.obj', 's1-1_021-n.S.obj']"
7f056541ad493e8377d2fe495d73784c,F,['s1-1_013-n.F.obj']
f59c1a4ac76ed68d9aa800785e7a97e9,L,['s1-1_013-n.L.obj']
2934f6317182425127ce05bf655ac29b,M,['s1-1_013-n.M.obj']
609708ef382c3e65134a6fc95fcc3419,T,['s1-1_013-n.T.obj']
6d542bc15c09ae16507937e1bee3924a,F,['s1-1_015-n.F.obj']
0e8f5735d995f751fca530a94f64d945,L,['s1-1_015-n.L.obj']
d9fcee0d70d4ca9ab8b3e53d98cf07b8,M,['s1-1_015-n.M.obj']
a2ff91d5d81e26c542ac6d8576b18e84,T,['s1-1_015-n.T.obj']
4c7167593b020fc849a9ac0f0474e0e9,F,['s1-1_017-n.F.obj']
4cf745ebc008aa39ebf44fe42c16dd8a,L,"['s1-1_017-n.L.obj', 's1-3_085-n.L.obj']"
63ba819b9dece09e011979a01aee86c0,M,['s1-1_017-n.M.obj']
98ca77a279911d8eacd8d7e71acf643f,T,['s1-1_017-n.T.obj']
beb8ec0a705863e881aad0d31f6d4023,F,"['s1-1_019-n.F.obj', 's1-3_092-n.F.obj']"
12c1ebd724442c31645befb23be258df,L,"['s1-1_019-n.L.obj', 's1-3_092-n.L.obj']"
7cb5c7d4f37c892a3434d07e5270d49b,M,"['s1-1_019-n.M.obj', 's1-3_092-n.M.obj']"
49725d767acf2e9e877d185517c28b00,T,['s1-1_019-n.T.obj']
61394712fc51693a3e9907916a8561a0,F,['s1-1_021-n.F.obj']
b32dcc1f99fd1613dbde9ded5ea43226,L,['s1-1_021-n.L.obj']
bda4e7ab8a725273128417395f1b8bb4,M,['s1-1_021-n.M.obj']
009c0d809cda5492741cdab2205aec37,T,['s1-1_021-n.T.obj']
56b713da44a538c7f3849c71f49b4812,F,['s1-1_023-n.F.obj']
5a3a2b3a07e825529c115445f9e1794c,L,['s1-1_023-n.L.obj']
29928387bc80ca22ff0fc39c4973526f,M,['s1-1_023-n.M.obj']
677821af99c040a6d2b51e2b732fd314,S,"['s1-1_023-n.S.obj', 's1-3_086-n.S.obj']"
5bb80544d5465bd921dc3c6d8888e298,T,['s1-1_023-n.T.obj']
430caad023b3106d47bf62eb473f6e2b,S,"['s1-1_023_2-n.S.obj', 's1-1_025-n.S.obj']"
bdb86ee302966b41dd02b1a8e24eddfd,S,"['s1-1_023_3-n.S.obj', 's1-1_027-n.S.obj', 's1-3_087-n.S.obj']"
47235e5bff27de95acf1717fde4aa4b7,S,"['s1-1_023_4-n.S.obj', 's1-1_029-n.S.obj']"
ab0f2cd34a0f6cc74a7d2f444c9bf58a,S,"['s1-1_023_5-n.S.obj', 's1-1_031-n.S.obj', 's1-3_088-n.S.obj']"
1e99a9187bf6a845b09f2fb2c14fd25a,S,"['s1-1_023_6-n.S.obj', 's1-1_033-n.S.obj']"
98398dc56bc2b96c152dc9ac21d4b446,F,['s1-1_025-n.F.obj']
5529a99c9e581b46925c03c2221dd004,L,['s1-1_025-n.L.obj']
25b826da1c3afca1eff82162a06446dd,M,['s1-1_025-n.M.obj']
b70d516539cec74b2981e7712ad0c14d,T,['s1-1_025-n.T.obj']
d91cd35e1e228d16510b6f859015fb2a,F,['s1-1_027-n.F.obj']
c04c1be6083ab3e92511e8cef9f948ca,L,['s1-1_027-n.L.obj']
b54656af9ca4c897dff8483b62f62e64,M,['s1-1_027-n.M.obj']
69be45087f92f6eecb424f2db55c1418,T,['s1-1_027-n.T.obj']
9b2508b2aebc19fbd40d95520949da5a,F,['s1-1_029-n.F.obj']
8f130079841e3b5b71a8336585bdd259,L,['s1-1_029-n.L.obj']
f16aefbd4ed7c5b2f39a3b6dc28ae634,M,['s1-1_029-n.M.obj']
d90fc37d46287a4b45f9f34aca4a00d7,T,['s1-1_029-n.T.obj']
5dba21762d1d9b679dbb53203b5becb5,F,['s1-1_031-n.F.obj']
f956c10abc2fb35f28fab226480d00d1,L,['s1-1_031-n.L.obj']
a62c9e7dfb2c518a1a8aec1c834effc4,M,['s1-1_031-n.M.obj']
06148fc661875c03f9845e64cab6f397,T,['s1-1_031-n.T.obj']
2d21da1928113bffea2334a76692ff90,F,['s1-1_033-n.F.obj']
d1d0952f308106c2290d1bbe49be8218,L,['s1-1_033-n.L.obj']
f7d7cccb3d1edaba5d8bb54e7080b76f,M,['s1-1_033-n.M.obj']
8210b3b403e6d645065db96d2b7c8405,T,['s1-1_033-n.T.obj']
3ab611f29ebdee0c03facb6fac250f18,F,['s1-1_035-n.F.obj']
451ec3d96c50a8c3bc67fdac4ece18a1,L,['s1-1_035-n.L.obj']
79169dcd403698c162a6b411b1634ef0,M,['s1-1_035-n.M.obj']
